post_id,topic,confidence
17941939319341563,Reflections,0.95
18018137773483891,Private Life,0.95
17949420668402803,Relatable Comedy,0.95
17990632783709032,Food,0.80
18212975044200912,Community,0.80
18043694491404945,Food,0.75
18039418447416621,Beauty & Fashion,0.95
17983123990858294,Beauty & Fashion,0.80
17994199774641109,Reflections,0.95
17938359362601933,Relatable Comedy,0.95
18068268502357861,Community,0.80
18065577148361100,Reflections,0.95
17928394643634809,Private Life,0.95
18030643642415463,Podcast,0.90
17873865911824448,Cinema & TV,0.80
17970585251113615,Podcast,0.85
17964434840215614,Private Life,0.95
17988342841833859,Podcast,0.90
17981476225909921,Podcast,0.85
17842069565943166,Podcast,0.90
17978655886989731,Culture,0.80
18277000384104491,Podcast,0.85
18197620942216932,Beauty & Fashion,0.95
17973127895034851,Podcast,0.90
18344831218033617,Podcast,0.85
18004679095580913,Culture,0.80
18252278215180179,Private Life,0.95
17872395110837966,Relatable Comedy,0.95
17987000992870679,YouTube,0.90
17994201250703567,Relatable Comedy,0.95
17966753330260276,Games,0.95
18177143005264410,Relatable Comedy,0.95
17953465682521523,Private Life,0.95
17878009394831830,Private Life,0.95
17950365644368084,Private Life,0.95
17876352020836242,Relatable Comedy,0.95
17989471837866915,Private Life,0.95
17865125420895444,Games,0.95
18350437573005184,Travel,0.95
18018671938477277,Cinema & TV,0.80
17977825757092112,Private Life,0.95
17872019135856744,Games,0.85
18007282615611317,Beauty & Fashion,0.80
17935450730637823,Private Life,0.95
18008485981612930,Relatable Comedy,0.95
17980294700025054,Private Life,0.95
17992072741730963,Theatre,0.95
17988651556927423,Theatre,0.85
17896413953717874,Community,0.80
17998325671775212,Games,0.95
18264208744126749,Private Life,0.95
17913081641726004,Beauty & Fashion,0.80
17891905949746957,Relatable Comedy,0.95
17992975678895863,Private Life,0.95
18049707124421169,Culture,0.85
17979644435297172,Private Life,0.95
17887991948817976,Private Life,0.85
17967257255209191,Relatable Comedy,0.95
17972079815136534,Relatable Comedy,0.95
17860214567947282,Community,0.80
18010086385633338,Beauty & Fashion,0.95
17989129708884045,Beauty & Fashion,0.95
18111311083308065,Beauty & Fashion,0.85
17966724233393167,Relatable Comedy,0.95
18007868467674273,Travel,0.95
17959678493345612,Beauty & Fashion,0.60
18263180179144778,Food,0.75
17988813386066842,Cinema & TV,0.60
18003406480756490,Relatable Comedy,0.95
18181722712281248,Food,0.85
17977161308253219,Community,0.80
18021122008560321,Private Life,0.95
17856236195971325,Reflections,0.95
18262124332196265,Relatable Comedy,0.95
17852337875989409,Theatre,0.95
17983255124494808,Theatre,0.85
17913197972767836,Private Life,0.95
18211977802216795,Culture,0.95
18008720488742694,Reflections,0.95
17961828188393082,Culture,0.75
17882192879828301,Private Life,0.95
18367071073004360,Private Life,0.95
17981030846105098,Travel,0.75
18272207119146486,Travel,0.85
18004942060852295,Private Life,0.95
17996406499991758,Community,0.80
18277069342120144,Relatable Comedy,0.95
17909431283795686,Private Life,0.95
17978644703342733,Private Life,0.95
17965821908350647,Private Life,0.85
17940486860679384,Beauty & Fashion,0.95
17984446607335867,Private Life,0.95
17857089092965651,Cinema & TV,0.75
18361247680064642,Beauty & Fashion,0.60
17875384223933692,Beauty & Fashion,0.85
18014372566736289,Cinema & TV,0.60
17883285524908978,Food,0.75
17995670914909167,Private Life,0.75
18027074200605325,Private Life,0.95
18048142546463109,Culture,0.75
18008981470870533,Travel,0.95
17979262991211407,Food,0.80
18000521239972615,Private Life,0.95
17935575245705945,Travel,0.90
18013122370774679,Relatable Comedy,0.95
17874535787947609,Reflections,0.85
18059274646438118,Culture,0.95
17977025432449230,Food,0.80
18096896053350595,Private Life,0.85
18224448898223171,Relatable Comedy,0.95
17946985751676095,Private Life,0.95
17977537019290764,Travel,0.95
17974063475527429,Relatable Comedy,0.95
18057244885443227,Beauty & Fashion,0.95
17994197393281657,Beauty & Fashion,0.80
18016954138783314,Community,0.75
17986715516350109,Cinema & TV,0.80
18378155902057058,Games,0.95
18233223214226058,Theatre,0.85
17939363723708282,Relatable Comedy,0.95
18062880241427599,Community,0.80
17988432689148151,Private Life,0.95
17971042298438212,Theatre,0.95
18049868746444951,Theatre,0.95
18105616477338254,Community,0.80
18196831045287542,Theatre,0.95
17976139475370149,Theatre,0.95
18007092314005080,Theatre,0.75
17996192576331375,Theatre,0.85
18003742277086500,Travel,0.85
17989737029363369,Travel,0.95
17995358267221408,Relatable Comedy,0.95
17896199792823753,Travel,0.95
17899769363866339,Reflections,0.95
18213568726301459,Relatable Comedy,0.95
18025631236735903,Cinema & TV,0.60
18001031867479788,Cooking,0.80
18029601388649659,Private Life,0.95
17981968193543844,Relatable Comedy,0.95
18009265391079553,Games,0.80
18001232204490959,Culture,0.95
18007488530111620,Private Life,0.95
17887733162953516,Private Life,0.95
18248898319229408,Podcast,0.85
18021280690848132,Private Life,0.95
18217576240248855,Private Life,0.95
17922662312811429,Relatable Comedy,0.95
18405855697024864,Private Life,0.95
18017760607827760,Private Life,0.95
17988250958600874,Private Life,0.80
17999007716151742,Cinema & TV,0.60
18064916698467588,Food,0.80
18012840872314405,Private Life,0.95
18289555210155460,Relatable Comedy,0.95
17906269034908678,Relatable Comedy,0.95
18013304015118277,Beauty & Fashion,0.95
18290694757199686,Culture,0.85
18081875413420073,Theatre,0.95
17994232190295655,Relatable Comedy,0.95
18001854362515908,Private Life,0.95
17989270052567073,Reflections,0.95
17967996401546766,Relatable Comedy,0.95
18040634950598887,Games,0.80
17998526324430997,YouTube,0.85
18329954614111827,Culture,0.80
17990036564343480,Culture,0.80
18225194011301621,Private Life,0.95
18046933291610578,Travel,0.60
18013775818991543,Private Life,0.95
17859655608074296,Beauty & Fashion,0.95
18022418572993666,Relatable Comedy,0.95
18020983541044970,Beauty & Fashion,0.95
17992577621548839,Theatre,0.95
17855639409116654,Theatre,0.85
18217258885274992,Theatre,0.95
18257381008173749,Travel,0.95
18000989810254313,Travel,0.95
17919440573792915,Travel,0.85
18024396833007960,Travel,0.95
18053174998521783,Theatre,0.85
17891571830932099,Travel,0.85
18180398062294546,Travel,0.95
17902692092958932,Theatre,0.95
17965829369711281,Food,0.75
18259609102214306,Travel,0.85
18027361465994409,Private Life,0.95
18040817932746756,Theatre,0.95
18027244429847837,Theatre,0.75
18029094727953444,Theatre,0.75
17978369861672261,Theatre,0.75
18131717704327089,Relatable Comedy,0.95
18046995865656096,Relatable Comedy,0.95
18058046635517563,Relatable Comedy,0.95
17966395973721100,Games,0.75
18004867967275654,Relatable Comedy,0.95
18034908379760443,Food,0.80
18044090386740277,Community,0.75
17919962552812512,Private Life,0.95
17975052512573383,Private Life,0.95
17881762311060699,Relatable Comedy,0.95
18034826689994075,Private Life,0.95
18042585079675783,Food,0.80
18021013130332973,Private Life,0.95
17934687725756105,Culture,0.80
18012009854170502,Food,0.75
18291015748167228,Travel,0.95
18050971090712774,Relatable Comedy,0.95
17906154335972626,Travel,0.95
18309283651194945,Beauty & Fashion,0.95
18186702421294157,Community,0.80
17962768433767067,Relatable Comedy,0.95
18023639423230936,Theatre,0.95
18023896700328307,Theatre,0.95
18026659304165001,Theatre,0.95
18340307761188493,Theatre,0.95
18061324942602915,Private Life,0.95
18043844641721442,Private Life,0.95
18014483465522247,Private Life,0.95
17864733267154955,Beauty & Fashion,0.60
17998313972638143,Reflections,0.95
18032121248296336,Private Life,0.95
17945273435817645,Private Life,0.95
18069751171531854,Beauty & Fashion,0.95
18062503168595402,Private Life,0.95
17873445918111594,Relatable Comedy,0.95
18035140184075315,Private Life,0.95
18031992457907457,Culture,0.85
18051542239751677,Relatable Comedy,0.95
18046417198863293,Private Life,0.75
18012853979580282,Private Life,0.75
18031601518944846,Community,0.80
17865483759124019,Private Life,0.85
18454659019005622,Private Life,0.95
18010866632545920,Beauty & Fashion,0.85
17964638207786355,Private Life,0.95
17893358241050773,Relatable Comedy,0.95
18037726181043650,Travel,0.75
18122768275374904,Private Life,0.95
18017286983228588,Culture,0.85
18002300054479921,Relatable Comedy,0.95
17959966085798551,Private Life,0.95
18310063276086408,Private Life,0.95
18336210118120525,Private Life,0.95
18046859512915308,Private Life,0.95
18099990829437831,Travel,0.90
18049999210848864,Theatre,0.85
18039867899088642,Private Life,0.95
18023303984158573,Relatable Comedy,0.95
18052593886722101,Community,0.80
18020446526224408,Relatable Comedy,0.95
18283817566234030,Private Life,0.95
18141280402343532,Relatable Comedy,0.95
18068802886612737,Theatre,0.80
18074117857510337,Relatable Comedy,0.95
18054044179866008,Beauty & Fashion,0.60
18050125144927381,Community,0.80
18024178772187759,Cooking,0.80
18012486599374426,Private Life,0.95
18272923384245815,Relatable Comedy,0.95
17906197146026894,Cinema & TV,0.60
18038491703168182,Private Life,0.95
18027072278154747,Podcast,0.60
18040110779126075,Relatable Comedy,0.95
18037989809511012,Private Life,0.95
17956054091830042,Games,0.60
18013652240401535,Relatable Comedy,0.95
17892899394097718,Community,0.80
17933517863942989,Theatre,0.95
17955903116836130,Games,0.60
17846756502330617,Private Life,0.95
17940054983800556,Theatre,0.95
18110039956438006,Cinema & TV,0.60
18007619795498589,Private Life,0.95
18001722662697645,Private Life,0.95
18018357203355933,Podcast,0.85
17877696234126539,Reflections,0.95
17937566510826444,Private Life,0.95
17929123385872053,Community,0.80
18381943324109012,Private Life,0.95
18130467304381445,Food,0.60
18101750707468758,Relatable Comedy,0.95
18028121075613778,Private Life,0.95
18043036526034596,Private Life,0.95
18309905242206290,Theatre,0.85
18068271883765160,Culture,0.85
18034461371185646,Theatre,0.95
17847059601374720,Culture,0.85
18036893048149256,Private Life,0.95
18030434555271442,Travel,0.95
17890629897176002,Private Life,0.95
17913571254066379,Private Life,0.95
18129199636398821,Food,0.75
17928139904904002,Podcast,0.85
18066958285842484,Podcast,0.90
17892659451172638,Podcast,0.85
18060475846797041,Podcast,0.90
18085797457601643,Podcast,0.90
18055221631888119,Podcast,0.90
18038415872170825,Relatable Comedy,0.95
18156973927341711,Culture,0.95
18059160887297685,Community,0.80
17959599653860644,Private Life,0.95
18053892944327526,Private Life,0.95
18060691817502886,Private Life,0.95
17986264412646770,Relatable Comedy,0.95
17854533660395358,Podcast,0.85
18156558304356826,Private Life,0.95
18035816282262917,Theatre,0.85
18269332669280031,Private Life,0.95
17871187143320531,Private Life,0.95
17923499963944229,Reflections,0.95
18166965913329026,Theatre,0.85
18040485572614487,Reflections,0.85
18110164075477305,Travel,0.95
18034131767639706,Relatable Comedy,0.95
18378306802188334,Private Life,0.95
18075027217827093,Private Life,0.95
18083641861650008,Private Life,0.95
18037224866283218,Private Life,0.95
18189081043308302,Private Life,0.95
17886792906252207,Private Life,0.95
17953055990947227,Culture,0.85
18034941488327888,Private Life,0.95
18125890204428996,Community,0.80
18066813832952133,Relatable Comedy,0.95
18493415857054171,Relatable Comedy,0.95
18039408275538310,Beauty & Fashion,0.60
18059363107921539,Reflections,0.95
18004201658771739,Beauty & Fashion,0.95
18061973351108959,Relatable Comedy,0.95
18313584226231180,Private Life,0.95
18140494018360932,Food,0.80
17915736785995951,Relatable Comedy,0.95
17885400039272884,Theatre,0.95
17907296538140288,Culture,0.85
18143939398381048,Travel,0.75
18086351434656688,Private Life,0.85
18300802456168480,Culture,0.85
18456523867077975,Private Life,0.95
18027853526691244,Private Life,0.95
18040968239296200,Private Life,0.95
17968481522908869,Games,0.60
17946493395004171,Culture,0.85
17849241132483233,Relatable Comedy,0.95
18048822554156407,Private Life,0.95
18144232630398599,Private Life,0.95
18103148485558529,Community,0.80
18131560441428886,Other,0.55
17852321232437683,Relatable Comedy,0.95
17878359549240946,Beauty & Fashion,0.60
18101809816492493,Relatable Comedy,0.95
18413638279099079,Private Life,0.75
18050338697428535,Cinema & TV,0.60
18098875822511654,Private Life,0.95
18131096374437194,Travel,0.95
18085916707706273,Private Life,0.95
17861507013440902,Private Life,0.95
18047390399632121,Private Life,0.90
18069952487041566,Theatre,0.95
18053637761456729,Beauty & Fashion,0.60
18025627967707139,Private Life,0.95
17886117099199945,Culture,0.95
18070509044103273,Private Life,0.95
18538772584032593,Travel,0.95
17845001721536793,Food,0.75
18074002304059050,Private Life,0.95
17940004052916001,Community,0.80
17975325605917148,Travel,0.95
18082549288851342,Travel,0.90
17970561830779871,Private Life,0.95
18038904533411435,Private Life,0.95
17851678521485721,Private Life,0.95
18082011994912751,Travel,0.85
17957881016993560,Travel,0.95
17958789614986632,Reflections,0.95
17940696519056981,Private Life,0.90
17856316806458414,Theatre,0.85
18122701408487103,Reflections,0.95
18025790222525126,Reflections,0.95
17924630601120965,Theatre,0.95
18042121763414286,Theatre,0.95
17983618376906582,Private Life,0.95
17898201399162449,Theatre,0.95
18063807473085113,Private Life,0.95
18037677470651383,Private Life,0.85
17922394641168662,Private Life,0.95
18080875738841682,Private Life,0.95
18316616770172117,Community,0.80
17964946223992257,Private Life,0.85
17868188040465895,Culture,0.85
18301426342252376,Private Life,0.95
17988423797897331,Relatable Comedy,0.95
18066952574098186,Relatable Comedy,0.95
18057261491281045,Reflections,0.95
17914403676087795,Relatable Comedy,0.95
18085375300826906,Private Life,0.95
18086705761971529,Cooking,0.80
18339588025237084,Theatre,0.95
18316576432218329,Private Life,0.95
18061327358532214,Community,0.60
18100345996790642,Private Life,0.95
17890319763388016,Games,0.95
18095641031497277,Private Life,0.95
18069715202610545,Cinema & TV,0.60
17903609814321241,Private Life,0.85
18060171806636692,Relatable Comedy,0.95
17862647727478564,Other,0.55
18345272275224491,Private Life,0.95
18068982287131955,Community,0.60
18057510863335117,Community,0.80
18031567508780922,Travel,0.95
18099068425883415,Reflections,0.95
17842852326673257,Relatable Comedy,0.95
18083201045155224,Relatable Comedy,0.90
18156314719421812,Community,0.80
17979976607954344,Private Life,0.95
18207760576318771,Culture,0.85
18123610009543843,Community,0.80
18083735957242899,YouTube,0.90
18082570684956703,YouTube,0.85
18084626429277572,YouTube,0.85
18393345886182465,Private Life,0.95
18091864309967377,Relatable Comedy,0.95
17952418251070091,Culture,0.95
17949578172091381,YouTube,0.90
18075963734611824,Private Life,0.95
18089649665044901,Relatable Comedy,0.95
18350294113227692,Cinema & TV,0.80
18122831746562545,Cinema & TV,0.80
17896413147394951,Private Life,0.95
17863858605504655,Relatable Comedy,0.95
18090454121471782,Community,0.80
18037279256547256,Relatable Comedy,0.95
17842537926695427,Private Life,0.95
18082563064995703,YouTube,0.85
17906961264186388,Private Life,0.85
18106512166754705,Culture,0.80
18080557928595702,Private Life,0.95
18563596738041136,Beauty & Fashion,0.80
18563068321058124,YouTube,0.90
18042228125725101,Culture,0.80
17882311659463230,Beauty & Fashion,0.75
18170654980400934,Relatable Comedy,0.95
18066841541274561,Community,0.75
18174108946390703,YouTube,0.90
18059779787689235,Relatable Comedy,0.95
18027968147795545,YouTube,0.90
18070212692218640,Community,0.80
18094461761009702,Cooking,0.80
17853940398682735,YouTube,0.85
18023848505799831,Private Life,0.95
18017386379821407,Relatable Comedy,0.95
18093827120283415,YouTube,0.85
